ID;periodo;ano;duracao.dias;carga.horaria;modalidade;categoria;local.curso;municipio;UF;latitude;longitude;organizadores;nome.curso;foco.curso; participantes;alunos;instrutores;colaboradores;instrutores.origem;programa.curso;lista.participantes;relatorio.descritivo;fotos;origem.informacoes;observacoes
035;23-27/05;2011;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio, PMDF;Noções Básicas para Identificação de Aves Silvestres;Fiscalização;49;46;2;1;Aílton Carneiro de Oliveira - CEMAVE, João Bosco Sampaio - IBRAM, Renata Rossato - CEMAVE;Sim;Não ;Não ;Não;Programação do curso;
036;05-09/11;2012;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio, Infraero;Curso Básico de Anilhamento de Aves Silvestres;Anilhamento;23;20;3;;Antonio Emanuel Barreto Alves de Sousa - CEMAVE, Aílton Carneiro de Oliveira - CEMAVE, Roberta Costa Rodrigues - UFPB;Sim;Sim;Não ;Sim;Curso Infraero;
037;16/04;2019;1;8;Presencial;Ministrado;Parque Zoobotânico de Salvador;Salvador;BA;-13,009374;-38,504758;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;43;37;6;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Marianna de Santqna Pinho - INEMA, Érika Garcez Rocha - INEMA, Marcus França Moreira - PRF, Gláucia Helena Fernandes Seixas - Parques das Aves e Fundação Neotrópica do Brasil;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
038;24/04;2018;1;8;Presencial;Ministrado;Sede do Batalhão da Polícia Ambiental Força Verde - PMPR;Curitiba;PR;-25,514832;-49,205167;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;51;46;5;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Marianna de Santqna Pinho - INEMA, Pedro Scherer Neto - Prefeitura Municipal de Curitiba, Manoel Lucas Javorouski - Prefeitura Municipal de Curitiba - Zoológico Municipal, Thais Michele Fernandes - Ibama;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
039;21/11;2018;1;8;Presencial;Ministrado;Jardim Zoológico do Rio de Janeiro - RioZoo;Rio de Janeiro;RJ;-22,904810;-43,229401;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;39;35;4;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS,  Gláucia Helena Fernandes Seixas - Parques das Aves e Fundação Neotrópica do Brasil, Tenente Calandrini - Polícia Ambiental de São Paulo;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
040;13/06;2018;1;10;Presencial;Ministrado;Sede do Comando do Policiamento Militar Ambiental - CPMA;Florianópolis;SC;-27,608794;-48,589898;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;42;39;3;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Thais Michele Fernandes - Ibama;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
041;18/04;2018;1;8;Presencial;Ministrado;Fundação Parque Zoológico de São Paulo;São Paulo;SP;-23,650872;-46,620374;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;24;21;3;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Marcos de Castro Simanovic - PMSP;Sim;Sim;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório
042;14/08;2019;1;8;Presencial;Ministrado;Instituto de Meio Ambiente do Mato Grosso do Sul - IMASUL;Campo Grande;MS;-20,439983;-54,557885;CEMAVE-ICMBio, Sociedade de Pesquisa em Vida Selvagem - SPVS;Curso em Identificação, Manejo e Destinação das Espécies  Alvo do PAN Papagaios;Fiscalização;114;111;3;;Patrícia Serafini - CEMAVE-ICMBio, Elenise Sipinski - SPVS, Gláucia Helena Fernandes Seixas - Parques das Aves e Fundação Neotrópica do Brasil;Sim;Sim ;Sim;Sim;Relatório do curso;Curso realizado no âmbito do Programa Papagaios do Brasil - fotos do curso no relatório - Há um erro no número de alunos indicados no relatório - são 111 alunos na lista e 114 participantes, não 118
044;21-22/02;2018;2;12,5;Presencial;Ministrado;Base Multifuncional do CEMAVE em Florianópolis, SC - ESEC Carijós;Florianópolis;SC;-27,472798;-48,491382;CEMAVE-ICMBio, Ibama, Projeto Albatroz;I Workshop de Capacitação de Agentes do Ibama para Fiscalização da IN nº 07/2014;Fiscalização;35;29;6;;Dimas Gianuca - Projeto Albatroz, Tatiana Neves - Projeto Albatroz, Augusto Silva Costa  -Projeto Albatroz, Gabriel Canani Sampaio - Projeto Albatroz, Rodrigo Claudino  -Consultor GEF Mar MMA, Patricia Pereira Serafini - ICMBio/CEMAVE;Sim;Sim ;Sim;Sim;Relatório do curso;"Curso realizado no âmbito da implementação do Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis
- PLANACAP - fotos do curso no relatório "
045;22 a 24/9;2020;3;12;Virtual;Ministrado;;;;;;CEMAVE e Universidade Federal do Sul da Bahia - UFSB;Ecologia e Conservação de Aves;Ecol. Cons. Aves;33;30;1;2;Priscilla Prudente do Amaral - CEMAVE;Sim;Não ;Não;Não;Comunicação Pessoal;Curso realizado na II Semana de Biologia da UFSB, durante a pandemia de COVID-19
046;26/11;2015;1;7,5;Presencial;Ministrado;Jardim Botânico Benjamim Maranhão;João Pessoa;PB;-7,135609;-34,860366;Batalhão de Policiamento Ambiental da Paraíba e CEMAVE;Reconhecimento e Manejo de Aves Silvestres;Fiscalização;29;25;2;2;Diego Mendes Lima - CEMAVE e Priscilla Prudente do Amaral - CEMAVE;Sim;Não ;Sim;Sim;Programação do curso;"Curso elaborado a pedido do Batalhão de Polícia; compôs um curso mais amplo de aperfeiçoamento dos policiais ambientais (Curso Tático Ambiental)."
047;03 a 08/08;1998;6;48;Presencial;Ministrado;Armação de Itapocoroy;Penha;SC;-26,774469;-48,643618;CEMAVE-Ibama, Universidade do Vale do Itajaí -Univali;Técnicas de Pesquisa e Conservação de Aves Silvestres;Anilhamento;17;12;2;3;Márcio Efe - Coordenadoria regional do CEMAVE Região Sul, Alexandre Fillipini - BATEC-Ibama-SUPES/SC;Sim;Sim;Sim;Não;Relatório do curso;Possui relatório de atividades por grupo - 2 grupos
048;09 a 17/08;1994;9;85;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19,576833;-57,019150;CEMAVE-Ibama, Universidade Federal de Mato Grosso do Sul - UFMS;"XIV Curso ""A Ornitologia na Conservação de Aves Silvestres""";Anilhamento;20;16;2;2;Augusto João Piratelli - UFMS-Três Lagoas, Inês Lima Serrano do Nascimento - CEMAVE-Ibama;Sim;Sim;Sim;Não;Relatório do curso;Possui relatório de atividades por grupo - 4 grupos
049;27/11 a 01/12;1995;5;40;Presencial;Ministrado;Superintendência Estadual do Ibama;Manaus;AM;-3,134691;-60,023335;CEMAVE-Ibama, Superintndência Estadual do Ibama-Manaus;A Ornitologia e a Conservação das Aves Silvestres;Fiscalização;16;14;2;;Inês de Lima Serrano do Nascimento - CEMAVE-Ibama, Albano Schulz Neto - Biólogo-PROAVES;Sim;Sim;Sim;Não;Relatório do curso;
050;18 a 26/08;1998;9;48;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19,576833;-57,019150;CEMAVE-Ibama, Universidade Federal de Mato Grosso do Sul - UFMS;Técnicas de Pesquisa e Conservação de Aves Silvestres;Anilhamento;14;8;2;4;João Luiz Xavier do Nascimento - CEMAVE-Ibama, Jussara Macedo Soares;Sim;Não;Sim;Não;Relatório do curso;Relatório - cada aluno elaborou um artigo
051;06 a 10/12;1993;5;40;Presencial;Ministrado;Usina Nova América;Tarumã;SP;-22,747927;-50,582220;CEMAVE-Ibama, Centro de Desenvolvimento Agropecuário do Médio Vale Paranapanema - CDV, Centro de Vida Silvesre - CEVIS/UNESP, Associação Brasileira para a Conservação das Aves - PROAVES;Treinamento em Técnicas de Monitoramento de Aves Silvestres;Monitoramento;18;15;3;;Reginaldo J. Donatelli, Renato Torres Pinheiro, Mônica Koch;Sim;Sim;Sim;Não;Relatório do curso;Treinamento com foco no monitoramento de Zenaida auriculata
052;03 a 10/07;1994;8;64;Presencial;Ministrado;Fazenda Branda;Carazinho;RS;-28,295088;-52,797194;CEMAVE-Ibama;A Ornitologia na Conservação das Aves Silvestres;Anilhamento;17;12;3;2;Benedito Salvador Ataguile - CEMAVE-Ibama, João Luiz Xavier do Nascimento - CEMAVE-Ibama, Mônica Koch, CEMAVE-Ibama;Não;Sim;Sim;Não;Relatório do curso;
053 ;01 a 03/07;1994;4;32;Presencial;Ministrado;Parque Metropolitano de Pituaçu;Salvador;BA;-13,014772;-38,488061;CEMAVE-Ibama, Clube de Observadores de Aves da Bahia - COA/BA, Grupo Ambientalista da Bahia - GAMBÁ, associação Brasileira para a conservação das Aves - PROAVES;Técnicas de Monitoramento de aves Silvestres;Anilhamento;16;15;1;;Albano Schulz Neto - Biólogo-PROAVES;Sim;Sim;Sim;Não;Relatório do curso;
054;28/03 a 11/04;1989;15;120;Presencial;Ministrado;Estação Ecológica do Taim;Rio Grande;RS;-32,538828;-52,538712;CEMAVE-Ibama, Universidade Católica de Pelotas;X Curso de Anilhamento de Aves;Anilhamento;21;15;6;;João Luiz Xavier do Nascimento - CEMAVE-Ibama, Paulo de Tarso Zuquim Antas - CEMAVE-Ibama, Maximiliano Pinheiro Cirne - Universidae Católica de Pelotas - UCPEL, Tânia Gomes Mara Giorgi - UCPEL, Raul Leite de Almeida - UCPEL, Geraldo Mastrantônio - UCPEL;Sim;Não;Sim;Sim;Relatório do curso;Curso com participação de 4 alunos estrangeiros - O relatório menciona que o curso contou com 13 alunos brasileiros, mas só foi possível a identificação de 11 alunos, com base nas informações dos relatórios e visto que não foi encontrada uma lista oficial dos alunos participantes  do curso. O relatório contém algumas fotos.
055;16 a 3011;1988;15;120;Presencial;Ministrado;Praia da Coroa do Avião;Itamaracá;PE;-7,816376;-34,839113;CEMAVE-IBDF;IX Curso de Anilhamento de Aves;Anilhamento;20;12;3;2;Inês de Lima Serrano do Nascimento - CEMAVE-IBDF, Paulo de Tarso Zuquim Antas - CEMAVE-IBDF;Sim;Sim;Sim;Não;Relatório do curso;O curso marcou a inauguração da primeira Base de Pesquisa do IBDF/CEMAVE no nordeste, em convênio com a UFRPE. O relatório do curso menciona 22 participantes (12 alunos brasileiros, 2 alunos estrangeiros, 3 intrutores, 3 auxiliares  e 2 professores da UFRPE), mas nos documentos foram identificados apenas 10 alunos brasileiros, 2 estrangeiros, 2 instrutores, 2 auxiliares e 3 professores/palestrantes da UFRPE).
056;19 a 24/05;1997;6;48;Presencial;Ministrado;Parque Estadual do Caracol;Canela;RS;-29,363376;-50,811350;CEMAVE-Ibama, PROAVES Pampeana Produções Educativas Ltda ;A Ornitologia na Conservação das Aves Silvestres;Anilhamento;;15;;;;Não ;Não ;Não;Não;Folheto de divulgação do curso;Informações incompletas. Não foi encontrado relatório, mas apenas um folheto de divulgação do curso. Assumiu-se que o curso foi realizado, mas não há informaçõse sobre alunos, instrutores etc.
057;;1979;;;Presencial;Ministrado;Pantanal de Mato Grosso;Poconé;MT;-16,264485;-56,628158;;;;;;;;;Não ;Não ;Não;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso com ano de realização e localidade, mas não há documentos com informações específicas.
058;;1980;;;Presencial;Ministrado;Estação Ecológica do Taim;Rio Grande;RS;-32,538828;-52,538712;;;;17;;;;;Não ;Não ;Não;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
059;;1982;;;Presencial;Ministrado;Parque Nacional do Itatiaia;Itatiaia;RJ;-22,460599;-44,600490;;;;8;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
060;;1982;;;Presencial;Ministrado;Ilha do Cardoso;Cananéia;SP;-25,134287;-47,961144;;Treinamento para o Instituto Estadual de Florestas - IEF/SP;;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização, identificação e localidade, mas não há documentos com informações específicas.
061;;1983;;;Presencial;Ministrado;Estação Ecológica do Tapacurá- EET-UFRPE;São Lourenço da Mata;PE;-8,041025;-35,196200;;I Curso de Extensão em Biologia das Aves Silvestres;;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização, identificação e localidade, mas não há documentos com informações específicas.
062;;1983;;;Presencial;Ministrado;Universidade Federal do Piauí;Teresina;PI;-5,057633;-42,797898;;Mini-curso de Anilhamento;Anilhamento;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização, identificação e localidade, mas não há documentos com informações específicas.
063;;1983;;;Presencial;Ministrado;UHE Porto Primavera;Rosana;SP;-22,534652;-52,946006;;Treinamento para a Companhia Energética de São Paulo - CESP;;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização, identificação e localidade, mas não há documentos com informações específicas.
064;;1985;;;Presencial;Ministrado;;Mamanguape;PB;-6,741926;-35,154395;;Curso de Anilhamento de Aves Migratórias Continentais;Anilhamento;16;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização, identificação e localidade, mas não há documentos com informações específicas.
065;;1986;;;Presencial;Ministrado;Parque Nacional da Lagoa do Peixe;Tavares;RS;-31,288703;-51,088843;;;;20;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
066;;1987;;;Presencial;Ministrado;Parque Nacional da Lagoa do Peixe;Tavares;RS;-31,288703;-51,088843;;;;20;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
067;;1988;;;Presencial;Ministrado;;Vila Velha;ES;-20,351832;-40,307951;;Treinamento de Pessoal para a Associação Vila-Velhense de Proteção Ambiental;;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
068;;1990;;;Presencial;Ministrado;;Santa Fé;ARG;-31,611083;-60,696758;;Treinamento para Dirección de Ecologia - Ministério de Agricultura, Ganaderia, Industria y Comércio;;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
069;;1990;;;Presencial;Ministrado;Porto Trombetas;Oriximixá;PA;-14,674440;-56,377208;;Treinamento para o CENAQUA;;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
070;;1991;;;Presencial;Ministrado;Aracruz Florestal;Aracruz;ES;-19,824478;-40,266696;;Curso de Anilhamento - Aracruz Florestal;Anilhamento;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
071;;1991;;;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;;Noções de Anilhamento de Aves Silvestres e Usos em Conservação da Natureza - I;Anilhamento;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
072;;1991;;;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;;Noções de Anilhamento de Aves Silvestres e Usos em Conservação da Natureza - II;Anilhamento;;;;;;Não;Não ;Não ;Não;Documento do CEMAVE contendo lista de cursos ministrados até 2002;Informações incompletas. Há apenas registro da realização do curso, com ano de realização e localidade, mas não há documentos com informações específicas.
